,parameter,error,model,model1,model2
42,"{'model1_params': {'changepoint_prior_scale': 1.3492415239542377, 'changepoint_range': 0.8669304364355933, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.33229866961979154}, 'model2_params': {'alpha': 0.3616219953702389}}",281.8171461011222,Hybrid,Prophet,Linear
43,"{'model1_params': {'changepoint_prior_scale': 2.4920563942196345, 'changepoint_range': 0.8469062704881362, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 19, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.18366601480097966}, 'model2_params': {'alpha': 1.0025597763738536}}",298.62394580536744,Hybrid,Prophet,Linear
44,"{'model1_params': {'changepoint_prior_scale': 2.1655671581701688, 'changepoint_range': 0.8312073379410886, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 23, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.2786218260012656}, 'model2_params': {'alpha': 0.2104054381546464}}",457.54022672497985,Hybrid,Prophet,Linear
45,"{'model1_params': {'changepoint_prior_scale': 2.0859657130128166, 'changepoint_range': 0.8547018933750743, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 21, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.24455844995718487}, 'model2_params': {'alpha': 0.447881334286924}}",281.5048066902456,Hybrid,Prophet,Linear
46,"{'model1_params': {'changepoint_prior_scale': 1.597507935753132, 'changepoint_range': 0.8907441969218025, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.329605103612265}, 'model2_params': {'alpha': 0.5057735369312867}}",281.99242155449787,Hybrid,Prophet,Linear
47,"{'model1_params': {'changepoint_prior_scale': 0.8468232031006061, 'changepoint_range': 0.8567892476316904, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2620326231704599}, 'model2_params': {'alpha': 0.27906029080518807}}",277.9103056758649,Hybrid,Prophet,Linear
48,"{'model1_params': {'changepoint_prior_scale': 1.362269107446769, 'changepoint_range': 0.8843313273959599, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2754466158519335}, 'model2_params': {'alpha': 0.2447436868827631}}",282.37230138703865,Hybrid,Prophet,Linear
49,"{'model1_params': {'changepoint_prior_scale': 0.6510748124000647, 'changepoint_range': 0.878242302264166, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.18700329096643278}, 'model2_params': {'alpha': 0.27786483740462675}}",355.5709955396081,Hybrid,Prophet,Linear
50,"{'model1_params': {'changepoint_prior_scale': 2.086296008027834, 'changepoint_range': 0.8605544533119285, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 20, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.22642097035164757}, 'model2_params': {'alpha': 0.2700747490966181}}",284.3488577246474,Hybrid,Prophet,Linear
51,"{'model1_params': {'changepoint_prior_scale': 1.5660134359825073, 'changepoint_range': 0.8523903221540843, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1440429269528397}, 'model2_params': {'alpha': 0.5444034342562981}}",280.14670252867705,Hybrid,Prophet,Linear
