,parameter,rmse,model
23,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 6.0, 'learning_rate': 0.049675721880106306, 'num_leaves': 50, 'min_gain_to_split': 1.3498460715218357, 'subsample': 0.7002740864016705, 'colsample_bytree': 0.8766746589900307, 'colsample_bynode': 0.6100494841583517, 'reg_lambda': 0.25744786650791257, 'reg_alpha': 3.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",308.1596928233286,LGB
24,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 5, 'min_child_weight': 6.0, 'learning_rate': 0.0927374089608996, 'num_leaves': 20, 'min_gain_to_split': 2.9271485475996535, 'subsample': 0.6791625852266384, 'colsample_bytree': 0.8805777816879752, 'colsample_bynode': 0.5538014453182482, 'reg_lambda': 0.3468375378044035, 'reg_alpha': 7.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",314.56891334768244,LGB
25,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.027294319316187896, 'num_leaves': 120, 'min_gain_to_split': 1.8940913607019743, 'subsample': 0.776257731064078, 'colsample_bytree': 0.7947753389568291, 'colsample_bynode': 0.6247074326156011, 'reg_lambda': 0.12565375321360564, 'reg_alpha': 4.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",309.7402224598107,LGB
26,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.03915351564431921, 'num_leaves': 60, 'min_gain_to_split': 2.192240880134346, 'subsample': 0.6573633882869427, 'colsample_bytree': 0.8203404289161347, 'colsample_bynode': 0.5812835353495079, 'reg_lambda': 0.24785690042140135, 'reg_alpha': 0.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",311.11377362312015,LGB
27,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.05464809925959702, 'num_leaves': 80, 'min_gain_to_split': 2.2881254263688224, 'subsample': 0.6943763002673234, 'colsample_bytree': 0.8125377712327728, 'colsample_bynode': 0.58478476100797, 'reg_lambda': 0.352972684022037, 'reg_alpha': 16.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",310.94501778872586,LGB
28,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.08786533649356675, 'num_leaves': 40, 'min_gain_to_split': 2.077409879432018, 'subsample': 0.6801218542563705, 'colsample_bytree': 0.8919698999902141, 'colsample_bynode': 0.6186150045834244, 'reg_lambda': 0.25851006809234617, 'reg_alpha': 22.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",319.87658705647664,LGB
29,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 5, 'min_child_weight': 5.0, 'learning_rate': 0.035378289223301856, 'num_leaves': 70, 'min_gain_to_split': 1.5514808331418506, 'subsample': 0.7189517441145353, 'colsample_bytree': 0.8187481388615918, 'colsample_bynode': 0.6574062943196339, 'reg_lambda': 0.2137656543753534, 'reg_alpha': 20.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",319.7205878562573,LGB
30,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 5.0, 'learning_rate': 0.024946248716269413, 'num_leaves': 120, 'min_gain_to_split': 2.838093479348799, 'subsample': 0.7363617963307149, 'colsample_bytree': 0.8640430313399206, 'colsample_bynode': 0.6593746568703521, 'reg_lambda': 0.1391981906543366, 'reg_alpha': 1.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",311.67871267065954,LGB
31,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.0325922023814353, 'num_leaves': 60, 'min_gain_to_split': 1.2647638278067324, 'subsample': 0.7270868012089299, 'colsample_bytree': 0.8429246368906873, 'colsample_bynode': 0.5784580207861411, 'reg_lambda': 0.22402700212378368, 'reg_alpha': 14.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",307.10851264369217,LGB
32,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 6.0, 'learning_rate': 0.05553996504674291, 'num_leaves': 60, 'min_gain_to_split': 1.046260916371442, 'subsample': 0.7364247422845889, 'colsample_bytree': 0.8370466086136297, 'colsample_bynode': 0.6308554892517364, 'reg_lambda': 0.14879921456487216, 'reg_alpha': 9.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",316.73592805494354,LGB
33,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 8.0, 'learning_rate': 0.02090846725632067, 'num_leaves': 50, 'min_gain_to_split': 0.7489093430407229, 'subsample': 0.7033485478658048, 'colsample_bytree': 0.8352240023293172, 'colsample_bynode': 0.5868286570048673, 'reg_lambda': 0.27902201651966, 'reg_alpha': 17.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",320.4634311145357,LGB
34,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 5.0, 'learning_rate': 0.04250106321716374, 'num_leaves': 90, 'min_gain_to_split': 1.6921890157832369, 'subsample': 0.7512173931963512, 'colsample_bytree': 0.7756546753813266, 'colsample_bynode': 0.5951684664193355, 'reg_lambda': 0.09485770588055094, 'reg_alpha': 20.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",310.87511341646155,LGB
35,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.06796650930035993, 'num_leaves': 70, 'min_gain_to_split': 1.0966326675722897, 'subsample': 0.670678453748479, 'colsample_bytree': 0.8568399724297865, 'colsample_bynode': 0.6449936503648204, 'reg_lambda': 0.18460015132780663, 'reg_alpha': 18.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",316.2115349946779,LGB
36,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 6.0, 'learning_rate': 0.04329847022026909, 'num_leaves': 40, 'min_gain_to_split': 0.4506717439440031, 'subsample': 0.7284218742412937, 'colsample_bytree': 0.8749813227467725, 'colsample_bynode': 0.6264734283846347, 'reg_lambda': 0.28897642626776365, 'reg_alpha': 21.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",315.96725160934494,LGB
37,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.028653822138284865, 'num_leaves': 70, 'min_gain_to_split': 1.6718513945542512, 'subsample': 0.7609659517916932, 'colsample_bytree': 0.8053494043122796, 'colsample_bynode': 0.5494756789287004, 'reg_lambda': 0.26394495349334457, 'reg_alpha': 5.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",312.15323096069056,LGB
38,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.03280887166014955, 'num_leaves': 30, 'min_gain_to_split': 2.1538794018837097, 'subsample': 0.7159979053963295, 'colsample_bytree': 0.8304437565464302, 'colsample_bynode': 0.5907415539843659, 'reg_lambda': 0.2798539208584099, 'reg_alpha': 21.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",319.19200250679745,LGB
