,parameter,rmse,model
53,"{'alpha': 0.2821816069588204, 'cyclic_feature_encoding': 'sincos'}",291.379363300136,Linear
54,"{'alpha': 0.3249103685223517, 'cyclic_feature_encoding': 'sincos'}",291.82449624954086,Linear
55,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 5.0, 'learning_rate': 0.05602658573739374, 'num_leaves': 180, 'min_gain_to_split': 5.633310059139422, 'subsample': 0.6846262034847109, 'colsample_bytree': 0.640881830035905, 'colsample_bynode': 0.5691440638440208, 'reg_lambda': 0.5080735376868617, 'reg_alpha': 28.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",329.442791377076,LGB
56,"{'alpha': 0.35464611649942346, 'cyclic_feature_encoding': 'sincos'}",292.04660318351694,Linear
57,"{'alpha': 0.3399573102397593, 'cyclic_feature_encoding': 'sincos'}",291.97464887136584,Linear
58,"{'alpha': 0.23930858239949104, 'cyclic_feature_encoding': 'sincos'}",290.8374171960099,Linear
59,"{'alpha': 0.14693517392588312, 'cyclic_feature_encoding': 'sincos'}",293.2793832276411,Linear
60,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.015628872717583602, 'num_leaves': 50, 'min_gain_to_split': 1.4804723883449038, 'subsample': 0.5141895304549675, 'colsample_bytree': 0.7518046436823869, 'colsample_bynode': 0.7674909893119375, 'reg_lambda': 0.4394999141133188, 'reg_alpha': 39.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",316.3976517309214,LGB
61,"{'alpha': 0.5244198825020873, 'cyclic_feature_encoding': 'sincos'}",292.9199830196012,Linear
62,"{'alpha': 0.6891846856155339, 'cyclic_feature_encoding': 'sincos'}",294.1032603740467,Linear
63,"{'alpha': 0.37981642327797704, 'cyclic_feature_encoding': 'sincos'}",292.128749097608,Linear
64,"{'alpha': 0.5215753946951884, 'cyclic_feature_encoding': 'sincos'}",292.907251773774,Linear
65,"{'alpha': 0.19951830513366603, 'cyclic_feature_encoding': 'onehot'}",294.38894350466455,Linear
66,"{'alpha': 0.1947469139877382, 'cyclic_feature_encoding': 'sincos'}",291.35483203604196,Linear
67,"{'alpha': 0.28680769516967247, 'cyclic_feature_encoding': 'sincos'}",291.4456107646797,Linear
68,"{'alpha': 0.4569866788370798, 'cyclic_feature_encoding': 'onehot'}",294.29621200712427,Linear
69,"{'alpha': 0.4042028927327408, 'cyclic_feature_encoding': 'sincos'}",292.24064808906456,Linear
70,"{'alpha': 0.34948893895813654, 'cyclic_feature_encoding': 'sincos'}",292.03279585281166,Linear
71,"{'alpha': 0.14888390376421184, 'cyclic_feature_encoding': 'sincos'}",293.21502734660913,Linear
72,"{'alpha': 0.26488436149853034, 'cyclic_feature_encoding': 'sincos'}",291.1168097998366,Linear
73,"{'alpha': 0.5123297664607548, 'cyclic_feature_encoding': 'sincos'}",292.87008225974364,Linear
74,"{'alpha': 0.3426550005089981, 'cyclic_feature_encoding': 'sincos'}",291.9993667150797,Linear
75,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.07003668727650311, 'num_leaves': 130, 'min_gain_to_split': 3.8811363171134583, 'subsample': 0.6078518723155807, 'colsample_bytree': 0.8278688560834806, 'colsample_bynode': 0.7339076678555666, 'reg_lambda': 0.6396888308743759, 'reg_alpha': 42.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",321.8707402357952,LGB
76,"{'alpha': 0.273935233946533, 'cyclic_feature_encoding': 'sincos'}",291.2595776968185,Linear
77,"{'alpha': 0.18353885152725632, 'cyclic_feature_encoding': 'sincos'}",291.74493858473045,Linear
78,"{'alpha': 0.16141315393443897, 'cyclic_feature_encoding': 'sincos'}",292.68728561424473,Linear
79,"{'alpha': 0.27315130113657177, 'cyclic_feature_encoding': 'sincos'}",291.2488180936866,Linear
80,"{'alpha': 0.35261740673266845, 'cyclic_feature_encoding': 'sincos'}",292.04130190750305,Linear
81,"{'alpha': 0.2292482283010931, 'cyclic_feature_encoding': 'sincos'}",290.7621578117163,Linear
82,"{'alpha': 0.1567880565833627, 'cyclic_feature_encoding': 'sincos'}",292.89890960219856,Linear
83,"{'alpha': 0.18771164839113832, 'cyclic_feature_encoding': 'sincos'}",291.5724451545588,Linear
84,"{'alpha': 0.2538778069298817, 'cyclic_feature_encoding': 'sincos'}",290.9854039018612,Linear
85,"{'alpha': 0.22421736808593695, 'cyclic_feature_encoding': 'sincos'}",290.7367764163151,Linear
86,"{'alpha': 0.23238347511521268, 'cyclic_feature_encoding': 'sincos'}",290.7781533280865,Linear
87,"{'alpha': 0.30017482813444124, 'cyclic_feature_encoding': 'onehot'}",294.3741738876874,Linear
88,"{'alpha': 0.1594747295695807, 'cyclic_feature_encoding': 'sincos'}",292.77763470131487,Linear
89,"{'alpha': 0.13936901034924165, 'cyclic_feature_encoding': 'sincos'}",293.5113900639802,Linear
90,"{'alpha': 0.35788896927177233, 'cyclic_feature_encoding': 'sincos'}",292.0556206847903,Linear
91,"{'changepoint_prior_scale': 0.08138067134648148, 'changepoint_range': 0.5817029762683643, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.4301914528085589}",457.49555882121484,Prophet
92,"{'alpha': 0.2680342526152662, 'cyclic_feature_encoding': 'sincos'}",291.17380418259796,Linear
93,"{'alpha': 0.15258208490225605, 'cyclic_feature_encoding': 'sincos'}",293.0803069484494,Linear
94,"{'alpha': 0.16459120474065678, 'cyclic_feature_encoding': 'sincos'}",292.54140360091844,Linear
95,"{'alpha': 0.20504337196636774, 'cyclic_feature_encoding': 'sincos'}",291.074510271223,Linear
96,"{'alpha': 0.23377914438220562, 'cyclic_feature_encoding': 'sincos'}",290.7886091093526,Linear
97,"{'alpha': 0.26640947280446087, 'cyclic_feature_encoding': 'sincos'}",291.1445006967423,Linear
98,"{'alpha': 0.1812596369649844, 'cyclic_feature_encoding': 'sincos'}",291.84420994376694,Linear
99,"{'alpha': 0.21904679041825842, 'cyclic_feature_encoding': 'sincos'}",290.7669879841203,Linear
