,parameter,rmse,model
36,"{'changepoint_prior_scale': 2.7895543147343593, 'changepoint_range': 0.5544395559636962, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5260073793929426}",362.4006779249718,Prophet
37,"{'changepoint_prior_scale': 1.9411495290465843, 'changepoint_range': 0.5612921575415316, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.9442466795740079}",364.87940244299006,Prophet
38,"{'changepoint_prior_scale': 2.1003068157417504, 'changepoint_range': 0.5431211946983749, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.43433529086842737}",459.9233253741381,Prophet
39,"{'changepoint_prior_scale': 2.322582713323252, 'changepoint_range': 0.5537539690588945, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 42, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3804349913944583}",468.7818881399923,Prophet
40,"{'changepoint_prior_scale': 5.233771620085368, 'changepoint_range': 0.5345484713415879, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 1.017317548933276}",461.7403757494844,Prophet
41,"{'changepoint_prior_scale': 2.0640509378378757, 'changepoint_range': 0.587546735674545, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 37, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.8799032886226072}",369.5544709758606,Prophet
42,"{'changepoint_prior_scale': 3.8951552899941775, 'changepoint_range': 0.5407502590675138, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3996110241254894}",358.70263103934866,Prophet
43,"{'changepoint_prior_scale': 4.123879075423704, 'changepoint_range': 0.5674471016618506, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.547493158649451}",364.6252868716789,Prophet
44,"{'changepoint_prior_scale': 2.341431383611367, 'changepoint_range': 0.5354264861389404, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.9022209167211692}",453.8255120287106,Prophet
45,"{'changepoint_prior_scale': 3.993152625815985, 'changepoint_range': 0.5768322197022234, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.30662030489215025}",382.6050168046004,Prophet
