,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
31,"{'boosting': 'gbdt', 'colsample_bynode': 0.5585988966004376, 'colsample_bytree': 0.5694205707235759, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.09453590629244263, 'max_depth': 5, 'min_child_weight': 9, 'min_gain_to_split': 5.617592436182422, 'num_leaves': 290, 'reg_alpha': 37, 'reg_lambda': 0.9253601818538771, 'subsample': 0.7714315796967601}",342.2400537238944,131800.89514759876,266.169543394946,0.14169567254883444,122.84892788507439,108474.6350846472,78.74127967841589,0.04660952434983813,LGB
32,"{'boosting': 'gbdt', 'colsample_bynode': 0.8804536388968163, 'colsample_bytree': 0.562124840418583, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.03551406974393343, 'max_depth': 3, 'min_child_weight': 8, 'min_gain_to_split': 7.574025716049418, 'num_leaves': 190, 'reg_alpha': 19, 'reg_lambda': 0.1230630673110592, 'subsample': 0.5204640890465487}",322.16682990830463,118428.12724722027,250.26366815581892,0.1357776189400577,122.69821215904817,105544.13784143183,80.26755919176159,0.050279955637167126,LGB
33,"{'boosting': 'dart', 'colsample_bynode': 0.6404649980520628, 'colsample_bytree': 0.8330673007997798, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.019963847498806177, 'max_depth': 8, 'min_child_weight': 7, 'min_gain_to_split': 0.7064330365038307, 'num_leaves': 130, 'reg_alpha': 66, 'reg_lambda': 0.7759211544592889, 'subsample': 0.8224957681401468}",366.67732590808237,158164.40504562133,281.21285068918587,0.13522559110559917,156.17180773372567,152015.00198031633,111.13512013925734,0.04231490687218184,LGB
34,"{'boosting': 'dart', 'colsample_bynode': 0.6723241923243627, 'colsample_bytree': 0.6445059069892571, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.754059234250855, 'max_depth': 3, 'min_child_weight': 8, 'min_gain_to_split': 7.118662798334736, 'num_leaves': 210, 'reg_alpha': 61, 'reg_lambda': 0.6318033122327029, 'subsample': 0.7133968891189596}",338.87549181447184,126665.49477965041,272.839838941433,0.15031886411301282,110.30350982337123,98651.7353900097,75.90843997115037,0.048953214195149246,LGB
35,"{'boosting': 'dart', 'colsample_bynode': 0.6264794003091538, 'colsample_bytree': 0.5007140640439696, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.015034074048598219, 'max_depth': 6, 'min_child_weight': 8, 'min_gain_to_split': 4.883454662810055, 'num_leaves': 270, 'reg_alpha': 67, 'reg_lambda': 0.5749462931922507, 'subsample': 0.7567177117029777}",343.5081254170197,138020.08413693015,263.8570051529485,0.12947111686327673,143.5071992956598,133185.24355631246,97.7122542128543,0.04077705587598922,LGB
36,"{'boosting': 'dart', 'colsample_bynode': 0.7812628421010408, 'colsample_bytree': 0.5192578008659796, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.9072989071567945, 'max_depth': 5, 'min_child_weight': 1, 'min_gain_to_split': 0.8792148039809478, 'num_leaves': 20, 'reg_alpha': 85, 'reg_lambda': 0.7680132329849848, 'subsample': 0.6565727606859358}",347.54458906190973,134759.67959720548,278.3018601255223,0.15337895453028957,119.8818198531698,106461.08838316263,85.40791621033898,0.05626401478899026,LGB
37,"{'boosting': 'dart', 'colsample_bynode': 0.7283544332727039, 'colsample_bytree': 0.8138452457311757, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.0926444441320581, 'max_depth': 9, 'min_child_weight': 2, 'min_gain_to_split': 5.989427006119001, 'num_leaves': 130, 'reg_alpha': 30, 'reg_lambda': 0.7730490216647163, 'subsample': 0.6485796317014246}",328.6855206014818,124558.85862054702,252.2976251455959,0.12754045658159108,130.3718569575151,123966.38492494282,87.79627087452742,0.04345726131800134,LGB
38,"{'boosting': 'gbdt', 'colsample_bynode': 0.6210871157038902, 'colsample_bytree': 0.7661639810879775, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.4503384199621268, 'max_depth': 7, 'min_child_weight': 1, 'min_gain_to_split': 5.681605805380347, 'num_leaves': 260, 'reg_alpha': 58, 'reg_lambda': 0.8041465022950867, 'subsample': 0.5924816050534383}",401.0158187077576,179364.7147682571,321.40050701109243,0.1777509633168176,138.13420026693933,134919.0404395847,105.41993231360854,0.07200106666055359,LGB
39,"{'boosting': 'gbdt', 'colsample_bynode': 0.8553922766958347, 'colsample_bytree': 0.6006477203895959, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.967533957335901, 'max_depth': 2, 'min_child_weight': 1, 'min_gain_to_split': 4.871591900671445, 'num_leaves': 250, 'reg_alpha': 55, 'reg_lambda': 0.7251030510421609, 'subsample': 0.792930431050216}",569.5084974875923,345510.8933985173,452.01359755321874,0.23326120043790294,147.56642366511434,187623.56968353433,112.652552554945,0.06423781106137853,LGB
40,"{'boosting': 'gbdt', 'colsample_bynode': 0.5130403157584936, 'colsample_bytree': 0.8417427353465221, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.010676164290224706, 'max_depth': 2, 'min_child_weight': 5, 'min_gain_to_split': 2.5367359036943684, 'num_leaves': 120, 'reg_alpha': 77, 'reg_lambda': 0.5713225890267022, 'subsample': 0.7414586405585396}",315.6346143771103,114178.59077864798,244.6604799165299,0.1301850085309024,122.34864883179306,104597.69614433058,80.56059596766616,0.04805700435115188,LGB
41,"{'boosting': 'dart', 'colsample_bynode': 0.7731819813483447, 'colsample_bytree': 0.7099335718160988, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.014673661630363783, 'max_depth': 3, 'min_child_weight': 5, 'min_gain_to_split': 1.1519639776854218, 'num_leaves': 110, 'reg_alpha': 62, 'reg_lambda': 0.1807147131305692, 'subsample': 0.7514654746075813}",336.54212065213164,133969.92854704,257.3634782053113,0.12542370593073995,145.94870573147267,132622.06749361876,98.97286196338133,0.03712069338754163,LGB
42,"{'boosting': 'gbdt', 'colsample_bynode': 0.7088764284281472, 'colsample_bytree': 0.7345360596477657, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.16275023917619155, 'max_depth': 5, 'min_child_weight': 9, 'min_gain_to_split': 6.682930666420624, 'num_leaves': 210, 'reg_alpha': 68, 'reg_lambda': 0.05304883339847444, 'subsample': 0.7674242821920143}",351.7569347104786,138044.0393208215,269.44128509806103,0.1427916401466497,121.32595239280563,111109.6966274376,74.23293730262658,0.04358978827839091,LGB
43,"{'boosting': 'gbdt', 'colsample_bynode': 0.6942124127781373, 'colsample_bytree': 0.6792867677680844, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.07738404525423631, 'max_depth': 1, 'min_child_weight': 6, 'min_gain_to_split': 2.97202327400254, 'num_leaves': 180, 'reg_alpha': 76, 'reg_lambda': 0.23479576751412645, 'subsample': 0.5157868112999096}",323.3704620969067,119596.339094465,252.8146086485957,0.13389742766978452,124.32719506632813,106715.97262473682,85.21361204776262,0.0434474232270367,LGB
44,"{'boosting': 'dart', 'colsample_bynode': 0.8433710285615756, 'colsample_bytree': 0.5205519357578687, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.1504502352230816, 'max_depth': 9, 'min_child_weight': 6, 'min_gain_to_split': 3.300277714662462, 'num_leaves': 20, 'reg_alpha': 2, 'reg_lambda': 0.6851379484360579, 'subsample': 0.5712441782036727}",327.91042772293764,122709.56841458895,252.43368146308856,0.13553168815652503,124.97262705835838,105615.62762748908,82.28543876010411,0.05525565432313392,LGB
45,"{'boosting': 'dart', 'colsample_bynode': 0.5443151388102522, 'colsample_bytree': 0.7188452595113088, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.6121604204483727, 'max_depth': 7, 'min_child_weight': 5, 'min_gain_to_split': 1.0861037981479904, 'num_leaves': 20, 'reg_alpha': 34, 'reg_lambda': 0.786758401617552, 'subsample': 0.7522426274519964}",316.02526161565595,114918.98983725271,246.00292670437113,0.1281648304000259,124.40634559933274,111033.92358793793,81.16209977579723,0.043309706190451824,LGB
46,"{'boosting': 'dart', 'colsample_bynode': 0.5193925833272598, 'colsample_bytree': 0.7742305439535961, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.23384203044234123, 'max_depth': 2, 'min_child_weight': 2, 'min_gain_to_split': 2.9220459088448236, 'num_leaves': 30, 'reg_alpha': 28, 'reg_lambda': 0.6766929114648523, 'subsample': 0.5539938082469067}",371.81990806300337,152082.67014786173,298.68633447070465,0.16701836600875758,119.28052651169295,103477.06133500354,95.30607231703928,0.06356935783359285,LGB
47,"{'boosting': 'dart', 'colsample_bynode': 0.6836636351735081, 'colsample_bytree': 0.8144774162888246, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.5052991019436144, 'max_depth': 4, 'min_child_weight': 5, 'min_gain_to_split': 8.516912237646633, 'num_leaves': 180, 'reg_alpha': 61, 'reg_lambda': 0.8425528754923964, 'subsample': 0.8034342531717409}",311.94676675189766,110118.67356306627,244.80466878141942,0.13153235519495668,114.77729715032916,98343.68374644859,76.79586079384475,0.047970112636357025,LGB
48,"{'boosting': 'gbdt', 'colsample_bynode': 0.7002552419546666, 'colsample_bytree': 0.5452329953161896, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.3036085399220726, 'max_depth': 6, 'min_child_weight': 8, 'min_gain_to_split': 2.243339701853139, 'num_leaves': 40, 'reg_alpha': 34, 'reg_lambda': 0.32171988618971814, 'subsample': 0.6011373296403687}",397.6699114702097,178859.68434812356,305.7788501136583,0.15864325857898237,145.98040288617693,141024.42756951237,92.8802336727049,0.049577595185171235,LGB
49,"{'boosting': 'dart', 'colsample_bynode': 0.8954109538838753, 'colsample_bytree': 0.6732050492313049, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.13590456611902924, 'max_depth': 3, 'min_child_weight': 5, 'min_gain_to_split': 5.006407485792382, 'num_leaves': 280, 'reg_alpha': 15, 'reg_lambda': 0.009764921102657254, 'subsample': 0.7509556112981097}",319.0711057083489,116805.40630192157,251.59885519706165,0.1365935594521803,124.20780846664486,111445.8321498869,81.00533277580875,0.05178107252652618,LGB
